release_date,discount_price,price,item_id,developer
2018-01-04,4.49,4.99,761140,Kotoshiro
2018-01-04,0.0,0.0,643980,Secret Level SRL
2017-07-24,0.0,0.0,670290,Poolians.com
2017-12-07,0.83,0.99,767400,彼岸领域
,1.79,2.99,773570,
2018-01-04,0.0,3.99,772540,Trickjump Games Ltd
2018-01-04,0.0,9.99,774276,Poppermost Productions
2018-01-04,0.0,18.99,774277,Poppermost Productions
2018-01-04,0.0,29.99,774278,Poppermost Productions
2018-01-04,0.0,,768800,RewindApp
,0.0,,768570,Qucheza
,0.0,0.0,724910,
2018-01-04,8.79,10.99,770380,Stegalosaurus Game Development
2018-01-04,0.0,3.99,768880,Copperpick Studio
2018-01-03,0.0,2.99,765320,Ghulam Jewel
2018-01-03,0.0,1.59,773650,Apillo
2018-01-03,0.0,14.99,774271,Poppermost Productions
2018-01-03,1.59,1.99,773690,Apillo
2018-01-03,0.0,59.99,774279,Poppermost Productions
,0.0,4.99,772590,
,1.97,2.99,640250,
2018-01-03,0.59,0.99,768060,Tero Lunkka
,0.89,0.99,711440,
2017-12-22,0.0,2.99,775880,FrozenPepper
2017-12-23,0.0,2.99,775881,FrozenPepper
2018-01-03,0.0,4.99,653960,Casey Labrack
2018-01-03,0.0,4.99,777910,
1997-06-30,0.0,9.99,282010,Stainless Games Ltd
1998-11-08,0.0,9.99,70,Valve
2016-11-25,0.0,1.99,752360,dev4play
,0.0,3.99,594200,
2018-01-01,0.0,,520680,BlueLine Games
2018-01-01,0.0,,690410,Games by Brundle
2018-01-01,0.84,0.99,766850,ETGgames
2018-01-01,0.0,,413120,ProjectorGames
2017-12-30,0.0,,773120,Unknown Indie Devs
,0.0,,680970,
2018-01-01,7.19,8.99,754360,The Commander
2018-01-01,0.0,0.99,716110,"lalalaZero,Urbanoff"
2006-07-06,0.0,6.99,1640,Strategy First
2006-07-06,0.0,6.99,1630,Strategy First
2006-07-11,0.0,9.99,2400,Outerlight Ltd.
,0.0,,662570,Zachary M Thomas
,0.0,,381620,Breakout Studio
,0.0,,714020,"zha7,Phaedruns,Yingke Wu"
,0.0,,541930,
2017-12-29,6.79,7.99,759920,Ultraint
2018-03-30,0.0,,659780,Seth Albertus
2017-12-29,9.89,10.99,603280,TPM.CO SOFT WORKS
2017-12-29,5.99,9.99,753110,Wonderbox Games
2017-12-29,5.99,9.99,753100,Wonderbox Games
,0.0,29.99,769350,
2017-12-30,0.0,1.99,764280,Mad Unicorn Games
,0.0,,374970,
2017-12-29,0.0,0.99,758550,Emanon Studios
2005-08-09,0.0,9.99,3800,GlyphX Games
2006-09-29,0.0,9.99,1520,Introversion Software
2006-11-20,0.0,9.99,2420,Outerlight Ltd.
