genres,release_date,discount_price,price,item_id,developer
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-04,4.49,4.99,761140,Kotoshiro
"['Free to Play', 'Indie', 'RPG', 'Strategy']",2018-01-04,0.0,0.0,643980,Secret Level SRL
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",2017-07-24,0.0,0.0,670290,Poolians.com
"['Action', 'Adventure', 'Casual']",2017-12-07,0.83,0.99,767400,彼岸领域
"['Action', 'Indie', 'Casual', 'Sports']",,1.79,2.99,773570,
"['Action', 'Adventure', 'Simulation']",2018-01-04,0.0,3.99,772540,Trickjump Games Ltd
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-04,0.0,9.99,774276,Poppermost Productions
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-04,0.0,18.99,774277,Poppermost Productions
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-04,0.0,29.99,774278,Poppermost Productions
"['Casual', 'Indie', 'Racing', 'Simulation']",2018-01-04,0.0,,768800,RewindApp
"['Action', 'Indie', 'Simulation', 'Early Access']",,0.0,,768570,Qucheza
['Casual'],,0.0,0.0,724910,
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",2018-01-04,8.79,10.99,770380,Stegalosaurus Game Development
"['Casual', 'Indie']",2018-01-04,0.0,3.99,768880,Copperpick Studio
"['Casual', 'Indie', 'Simulation']",2018-01-03,0.0,2.99,765320,Ghulam Jewel
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-03,0.0,1.59,773650,Apillo
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-03,0.0,14.99,774271,Poppermost Productions
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-03,1.59,1.99,773690,Apillo
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-03,0.0,59.99,774279,Poppermost Productions
"['Early Access', 'Indie', 'VR']",,0.0,4.99,772590,
"['Early Access', 'Action', 'Adventure', 'Indie', 'Casual']",,1.97,2.99,640250,
"['Action', 'Adventure', 'Indie']",2018-01-03,0.59,0.99,768060,Tero Lunkka
"['Early Access', 'Strategy', 'Action', 'Indie', 'Casual', 'VR']",,0.89,0.99,711440,
"['Racing', 'Simulation', 'Sports']",2017-12-22,0.0,2.99,775880,FrozenPepper
"['Racing', 'Simulation', 'Sports']",2017-12-23,0.0,2.99,775881,FrozenPepper
"['Action', 'Indie']",2018-01-03,0.0,4.99,653960,Casey Labrack
"['Design & Illustration', 'Tutorial']",2018-01-03,0.0,4.99,777910,
"['Action', 'Indie', 'Racing']",1997-06-30,0.0,9.99,282010,Stainless Games Ltd
['Action'],1998-11-08,0.0,9.99,70,Valve
"['Action', 'Indie', 'RPG']",2016-11-25,0.0,1.99,752360,dev4play
"['Action', 'Indie', 'VR']",,0.0,3.99,594200,
"['Casual', 'Indie', 'Strategy']",2018-01-01,0.0,,520680,BlueLine Games
['Action'],2018-01-01,0.0,,690410,Games by Brundle
"['Casual', 'Indie', 'Simulation']",2018-01-01,0.84,0.99,766850,ETGgames
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",2018-01-01,0.0,,413120,ProjectorGames
"['Adventure', 'Casual', 'Indie']",2017-12-30,0.0,,773120,Unknown Indie Devs
"['Action', 'Free to Play', 'Strategy']",,0.0,,680970,
"['Action', 'Adventure', 'RPG']",2018-01-01,7.19,8.99,754360,The Commander
"['Adventure', 'Casual', 'Indie', 'RPG']",2018-01-01,0.0,0.99,716110,"lalalaZero,Urbanoff"
['Strategy'],2006-07-06,0.0,6.99,1640,Strategy First
['Strategy'],2006-07-06,0.0,6.99,1630,Strategy First
