user_id,posted,item_id,recommend,sentiment_analysis
killeripilleri29,,252950,True,2
76561198087650886,,325724,True,1
76561198091682568,,474750,True,2
Delicous_Cookies,,223710,True,1
76561198067771967,,220240,True,2
XiPonds,,49520,True,2
whisperrrrrrr,,49520,True,2
76561198320203075,,730,True,0
jonasdbomb,,346110,True,2
mazkg,,730,True,1
76561198052399653,,452780,True,2
mazkg,,550,True,1
mazkg,,209000,True,1
mazkg,,55230,True,2
mazkg,,206420,True,1
olivercooli,,294100,True,2
76561198019066447,,252950,True,2
76561198079529922,,412880,False,2
eljefe2171,,22340,True,2
76561198071684592,,222750,False,0
Halistrogue,,264710,True,2
76561198073518018,,730,True,0
hatebites,,467820,True,1
194847383,,313740,True,0
jessicax0,,423580,True,2
76561198094264350,,304050,True,2
Crailik,,202970,True,2
derplaymc,,304050,True,1
76561198036077253,,104900,False,0
meowvel,,512300,True,1
76561198062459887,,303210,True,2
KIEZ5823,,230410,True,1
SpiceyPanda,,268500,True,2
N1C7,,252950,True,2
hihihello1234,,57690,True,2
76561198075983645,,22380,False,0
76561198093625944,,730,True,1
76561198052479552,,407530,True,1
LegionofTalon,,230410,True,1
brucenet,,41700,True,1
BokuNoSekai,,57690,True,2
SakifX9,,23310,False,0
TheDarkSteveh,,436520,True,2
viihdavanzo,2015-09-09,238960,True,1
76561198209894493,2015-09-09,730,True,1
Hizamo,2015-09-09,386360,True,2
BonnieMTD,2015-09-09,304930,False,0
76561198050757560,2015-09-09,369400,False,1
viihdavanzo,2015-09-09,730,True,1
76561198005708745,2015-09-09,234140,True,0
kazanmor,2015-09-09,331190,True,2
76561198044717313,2015-09-09,386360,True,2
76561198071716213,2015-09-09,346110,True,0
dandeman31,2015-09-09,550,True,2
W33dl3y,2015-09-09,239030,True,0
Skirin200,2015-09-09,440,False,1
EHS-R3AP3R,2015-09-09,339230,False,2
lixdy,2015-09-09,204360,True,1
76561198062377940,2015-09-09,399520,True,1
GamingDope,2015-09-09,387970,False,1
76561198056745387,2015-09-09,218620,True,1
76561198096612310,2015-09-09,227940,False,0
76561198065836764,2015-09-09,287700,True,2
sealyx,2015-09-09,440,True,2
sealyx,2015-09-09,4000,True,0
76561198028357316,2015-09-09,221100,False,0
sealyx,2015-09-09,284160,True,2
sealyx,2015-09-09,332570,True,2
sealyx,2015-09-09,265930,True,0
DogeWithDaSwegAndDew,2015-09-09,266430,False,0
lixdy,2015-09-09,206420,True,2
lixdy,2015-09-09,4000,True,0
lixdy,2015-09-09,570,True,2
lixdy,2015-09-09,252950,True,2
lixdy,2015-09-09,620,True,2
76561198058986434,2015-09-09,224260,True,1
76561198103108238,2015-09-09,264710,True,0
76561198086388497,2015-09-09,570,True,1
76561198071340853,2015-09-09,440,True,2
76561197997877709,2015-09-09,359390,True,2
76561198072809720,2015-09-09,352460,True,2
76561198072559414,2015-09-09,107410,True,2
76561198107730535,2015-09-09,230290,True,2
pancakes37,2015-09-09,266430,True,2
76561198111978125,2015-09-09,386360,True,2
76561198049429171,2015-09-09,730,False,1
Thatssirlemontoyou,2015-09-09,440,True,2
Luugo,2014-09-09,620,True,1
frost27820,2014-09-09,263440,True,1
76561198090332398,2014-09-09,7200,True,2
76561198059631745,2014-09-09,265630,True,1
Jellofacey,2014-09-09,730,True,2
nuddebeee,2014-09-09,1840,True,2
6367468774734664754,2014-09-09,221640,True,2
76561198035718256,2014-09-09,45760,True,1
traketraketrake,2014-09-09,440,True,1
76561198046096030,2014-09-09,8870,True,2
76561198066380534,2014-09-09,230410,True,2
76561198071955492,2014-09-09,230230,True,2
totueros,2014-09-09,266430,True,2
calldogedoggie,2014-09-09,72850,True,2
ArMeDNeo,2014-09-09,207140,True,2
obscenedagger,2014-09-09,265930,True,2
fall3n_archon,2014-09-09,2870,False,2
benjisponge,2014-09-09,11240,False,0
SeekTheDarkness,2014-09-09,293540,False,0
76561198079986661,2014-09-09,227700,True,0
76561198083933218,2014-09-09,233250,True,0
SuchDogeMuchWoW,2014-09-09,301520,True,0
76561198151925003,2014-09-09,4000,True,2
yungwaste,2014-09-09,218620,True,1
Pinkamenadinewithpie,2014-09-09,440,True,2
76561198056519262,2014-09-09,209080,True,2
CatsWhale,2014-09-09,206210,True,1
RegularSmokeyJoe,2014-09-09,48700,True,2
76561198018739984,2014-09-09,224260,True,0
Nazi-Slayer,2014-09-09,39120,True,2
SteamSpotty,2014-09-09,730,True,1
Sarahisthecooolest,2014-09-09,730,True,2
76561198066734993,2014-09-09,4000,True,2
76561198081923658,2014-09-09,570,True,0
S2xDs2,2014-09-09,50300,True,2
76561198082256064,2014-09-09,440,True,2
pleasedontvotefortrump,2013-09-09,50,True,2
76561198075333118,2013-09-09,207610,True,1
rigggy,2013-09-09,242550,True,2
SwinburnCyphenMisslemike,2013-09-09,219150,True,1
FastAsACheetah,2013-09-09,239660,True,1
76561198083423726,2013-09-09,4000,True,1
SwinburnCyphenMisslemike,2013-09-09,28050,True,1
mewdetta,2013-09-09,440,True,0
76561198048133739,2013-09-09,220240,True,1
pleasedontvotefortrump,2013-09-09,104600,True,0
SwinburnCyphenMisslemike,2013-09-09,1250,True,0
GearShift,2012-09-09,550,True,2
76561198038048137,2012-09-09,730,True,2
Mystic_Fire,2012-09-09,35110,True,2
J0d4Ns3,2012-09-09,440,True,1
mr10166,2012-09-09,209870,True,0
76561198046685572,2011-09-09,440,True,2
76561198045344356,2011-09-09,99900,True,2
76561198029069901,2011-09-09,63940,False,0
76561198062533699,,301520,False,0
76561198052412328,,346110,True,2
76561198283109848,,291550,True,2
76561198057596243,,730,True,2
vitoprofile,,363970,True,2
76561198054796819,,358130,True,1
duzim,,360740,True,2
76561198078482884,,57690,True,1
76561198195091390,,570,True,0
kelby003,,238460,True,2
76561198019938571,,206480,False,2
genzzii,,357070,True,2
76561198044577103,,252950,True,1
76561198057134853,,275850,True,2
Makurii,,438490,True,2
76561198153966721,,333930,True,2
lucasrash,,440,True,1
witcher01,,512540,True,2
perverthentai,,730,True,2
kelby003,,4000,True,0
kelby003,,322500,True,2
darvvin,,365670,True,1
puhak,2015-09-08,359050,True,1
76561198084294278,2015-09-08,287700,True,0
76561198068224653,2015-09-08,304930,True,2
ravichop89,2015-09-08,105600,True,2
76561198077800976,2015-09-08,230290,True,2
76561198026239418,2015-09-08,369580,True,1
Wycrome,2015-09-08,329950,True,1
76561198043130826,2015-09-08,227940,True,1
76561198026239418,2015-09-08,730,True,2
SpiritOfDeath2,2015-09-08,49600,True,2
76561198054397103,2015-09-08,236390,True,2
divorahk,2015-09-08,242680,True,2
76561198060425303,2015-09-08,440,True,2
76561198026239418,2015-09-08,233450,True,2
76561198068922268,2015-09-08,304050,True,0
76561198038291513,2015-09-08,440,True,1
Cosmonaut123456789,2015-09-08,221100,True,2
76561198058752236,2015-09-08,266150,True,1
Sacobite,2015-09-08,550,True,2
k_i_l_l_yourself,2015-09-08,386360,True,2
76561198095005075,2015-09-08,232090,True,2
76561198138045913,2015-09-08,208090,False,0
76561198081848869,2015-09-08,41700,True,2
impurepaladin,2015-09-08,219640,True,2
76561198201849275,2015-09-08,240,True,1
LunkTehHero,2015-09-08,386360,True,0
imacatseeulr,2015-09-08,346900,True,1
76561198045145306,2015-09-08,209160,False,2
MexyMax,2015-09-08,319630,True,2
45514551,2015-09-08,265610,True,1
76561198208704549,2015-09-08,273110,True,1
76561198060425303,2015-09-08,329950,False,2
76561198056339034,2015-09-08,206420,True,2
mwanan,2015-09-08,252490,True,2
76561198091216652,2015-09-08,440,True,2
psyfoe,2015-09-08,291480,False,2
76561198060425303,2015-09-08,344860,True,2
juuhcsr,2015-09-08,218620,True,1
76561198082567207,2015-09-08,386360,True,2
maketeanotwar,2014-09-08,200710,True,1
turtletophat,2014-09-08,319510,True,0
ShevilleWarhand,2014-09-08,319510,True,0
brocky0405,2014-09-08,730,True,1
brenos619,2014-09-08,305260,True,1
76561198066916378,2014-09-08,233250,False,2
deagleone,2014-09-08,730,True,2
UnkleFisty,2014-09-08,730,True,2
fantomexican,2014-09-08,211400,True,2
AriakWolf,2014-09-08,50300,True,2
PurpleYoshi_2Bees,2014-09-08,730,True,2
fantomexican,2014-09-08,7670,True,0
76561198055773402,2014-09-08,8870,True,2
sirzabblepants,2014-09-08,227300,True,0
SamA3,2014-09-08,730,True,0
76561198064901359,2014-09-08,8930,True,2
bilyitu,2014-09-08,730,True,1
assassins_nightmare,2014-09-08,233250,False,2
ShevilleWarhand,2014-09-08,242760,True,2
76561198061857771,2014-09-08,227940,False,2
tome1000,2014-09-08,12210,True,0
76561198057919602,2014-09-08,257710,True,2
76561198080555860,2014-09-08,304930,True,0
76561198061119963,2014-09-08,203770,True,2
Emillllllllllllllllllllllll,2014-09-08,207610,True,2
76561198076246961,2014-09-08,440,True,0
76561198061575266,2014-09-08,730,True,2
ObamaHasEbola,2014-09-08,730,True,2
76561198089481267,2014-09-08,31220,True,2
orangejuiceanddoobies,2014-09-08,304930,False,1
76561198057837016,2014-09-08,57690,True,0
76561198057837016,2014-09-08,212680,True,2
76561198069824038,2014-09-08,730,True,2
aussie_swim,2014-09-08,570,True,2
UTNerd24,2014-09-08,221910,True,0
76561198153660339,2014-09-08,224580,False,0
Doobuboo,2014-09-08,72850,True,0
76561197972282027,2014-09-08,44320,False,0
StryderEpic,2014-09-08,304930,True,0
76561198103561722,2014-09-08,268420,True,2
76561198077512503,2014-09-08,221380,True,1
divorahk,2014-09-08,204060,True,2
temere,2014-09-08,221380,True,2
76561198044890018,2014-09-08,49520,True,1
Breakercsyoyo,2014-09-08,730,True,2
Acemueller007,2014-09-08,227940,True,2
testicularsoundexpress,2014-09-08,250400,True,2
76561198092148962,2014-09-08,230050,True,2
yaegerthearcticwolf,2014-09-08,227300,True,2
28042005,2014-09-08,440,True,0
Elk160,2014-09-08,221640,True,0
temere,2014-09-08,233470,True,1
76561198082706194,2014-09-08,11590,False,0
28042005,2014-09-08,304930,True,1
76561198057784104,2013-09-08,22370,True,2
WatchAnimeEveryDay,2013-09-08,440,True,2
Nepku_,2013-09-08,219740,True,1
76561197970812298,2013-09-08,70,True,0
Nepku_,2013-09-08,204360,True,1
76561198040695833,2013-09-08,239820,True,2
chapaloko666,2013-09-08,218620,True,2
js41637,2013-09-08,227300,True,0
Nepku_,2013-09-08,206440,True,1
rexsniper,2013-09-08,219740,True,1
76561198078833521,2013-09-08,8190,True,2
stackonme,2012-09-08,35720,True,0
76561198038577311,2012-09-08,204300,True,2
stackonme,2012-09-08,35700,True,2
stackonme,2012-09-08,213330,True,2
76561198066968394,2012-09-08,440,True,1
76561198040257934,2012-09-08,550,True,0
StoicWilly,2012-09-08,8190,True,2
speedyy,2012-09-08,730,True,2
heyitissantooo,2011-09-08,440,True,1
gabbler123,,107100,True,1
gabbler123,,219150,True,1
76561198001296435,,237930,True,1
FlameFireBlast,,346110,True,2
76561198053897790,,367500,True,2
76561198089965977,,55230,True,1
76561198043979877,,218230,True,2
76561198001296435,,209060,True,0
76561198086405567,,63380,True,2
banksyyo,,17390,True,1
76561198028363291,,105600,False,2
Velocity_,,346110,False,1
76561198001296435,,359550,True,0
archangel147,,343750,False,2
76561198054544978,,130,True,2
Somite11,,8930,True,0
76561198054421576,,275850,False,0
76561198070706154,,730,True,2
Jezza453,,418190,True,2
Liquiddddddddd,,322330,True,2
FictionDaddy,,292030,True,1
TonyTheStoneGiant,,570,True,0
assassin_warman,,204450,True,2
76561198057950387,2015-09-07,292030,True,2
phishtanke,2015-09-07,232090,True,2
Arcanoth,2015-09-07,319510,False,2
Arcanoth,2015-09-07,220050,False,0
UniIsBestWaifu,2015-09-07,17730,False,0
de_yeti,2015-09-07,333930,True,2
76561198130101262,2015-09-07,287700,True,2
Rawex,2015-09-07,356070,True,2
76561198062377940,2015-09-07,346900,True,1
cronix0,2015-09-07,730,True,1
76561197989758447,2015-09-07,224600,False,2
76561198052805342,2015-09-07,369400,False,0
ManiFoldKinesis,2015-09-07,319630,True,2
76561198065265998,2015-09-07,224540,False,0
76561198075626434,2015-09-07,234140,True,1
76561198043795163,2015-09-07,440,True,2
76561198075975771,2015-09-07,244450,True,2
LiberationestZ,2015-09-07,359050,True,2
skydive1111,2015-09-07,370100,False,2
Rickson123,2015-09-07,356070,True,1
djnemonic,2015-09-07,356070,True,2
CancerCure,2015-09-07,570,True,1
Bawst,2015-09-07,359050,True,1
76561198066254470,2015-09-07,287700,True,1
76561198064358345,2015-09-07,359050,True,2
sirzabblepants,2015-09-07,257510,True,2
76561198123519486,2015-09-07,304050,True,2
76561198028950490,2015-09-07,282900,True,2
GREENMAN41,2015-09-07,250900,True,0
anonimux,2014-09-07,24840,True,2
notthesemuffins,2014-09-07,304650,True,2
76561198100282394,2014-09-07,105600,True,1
uzzumymw,2014-09-07,304930,True,2
CapCheeze,2014-09-07,304930,True,2
76561198061834064,2014-09-07,319510,True,2
expos,2014-09-07,440,True,0
76561198069995284,2014-09-07,265550,True,2
Fepa3,2014-09-07,10180,True,1
jokasavage,2014-09-07,227940,True,2
Drewstir,2014-09-07,304930,True,1
max10,2014-09-07,304930,True,2
76561198082283850,2014-09-07,227700,False,0
hiimagay,2014-09-07,730,True,1
76561198101303629,2014-09-07,730,True,2
LionBrito,2014-09-07,236430,True,0
mazafuker3000,2014-09-07,730,True,2
76561198076436360,2014-09-07,244850,True,2
76561198095682416,2014-09-07,252490,True,2
76561197976404001,2014-09-07,243870,True,2
aether7588,2014-09-07,301520,True,0
76561198103927245,2014-09-07,113400,True,0
Rubbix,2014-09-07,230410,True,2
Rainbow-Dashie,2014-09-07,49520,True,0
76561198066322710,2014-09-07,550,True,1
plz2halp,2014-09-07,630,True,0
theonemlst,2014-09-07,265550,False,0
Rattyson,2014-09-07,620,True,0
mine4yourself,2014-09-07,266430,True,2
76561198040991099,2014-09-07,307290,True,0
Shredderman962,2014-09-07,263960,True,2
TheSnakeyJake,2014-09-07,8930,True,2
subtember11,2013-09-07,105600,True,0
knitro,2013-09-07,440,True,0
KingPahn,2013-09-07,238320,True,1
Cloud437,2013-09-07,570,True,2
2891723967123,2013-09-07,218620,True,0
teerakron,2013-09-07,43160,True,2
mrmutantduck,2013-09-07,4000,True,1
Ratchet719,2013-09-07,96300,True,2
KLAUDEZ15,2013-09-07,17500,True,0
76561198034277356,2012-09-07,440,False,0
76561197984390941,2012-09-07,10180,True,1
76561198062267241,2012-09-07,4000,True,2
76561197984390941,2012-09-07,17480,True,2
76561198031390758,2011-09-07,7830,True,0
76561198090240161,,381210,False,0
seek83,,346110,False,0
76561198153966721,,250400,True,2
Ron__Ron,,99900,False,2
LegendTom,,230410,True,1
334756875,,452780,True,1
kuronokami,,49520,True,2
76561198017444547,,275850,False,2
S810sWolf,,475150,True,2
Jaberley,,323610,True,2
76561198047418653,,281990,True,1
MattBowles,,385730,True,1
76561198058989485,,473850,True,1
needkarambit,,346110,True,0
imkyle202,,363970,True,2
LinkSQN,,433850,True,1
76561198035005990,,304430,True,0
69bmw,2015-09-06,355180,True,1
thiefofrosesinlalaland,2015-09-06,287700,True,0
AnTVAssassin,2015-09-06,440,True,0
76561198065304760,2015-09-06,232090,True,1
michaelbruce,2015-09-06,252490,True,1
faffandtheworldfaffswithyou,2015-09-06,234140,True,1
76561198067425198,2015-09-06,243470,False,0
76561198062544523,2015-09-06,274920,False,0
Giovannizzo,2015-09-06,200210,True,1
DSvictory,2015-09-06,346110,True,0
wasthisusernametaken,2015-09-06,257400,True,2
Giovannizzo,2015-09-06,253030,True,1
rickoning,2015-09-06,359050,True,0
Giovannizzo,2015-09-06,241930,True,1
Giovannizzo,2015-09-06,219640,True,1
My_Special_Place,2015-09-06,22380,True,2
Giovannizzo,2015-09-06,271590,True,1
Giovannizzo,2015-09-06,20920,True,1
Giovannizzo,2015-09-06,241560,False,1
DiamondAthority,2015-09-06,234140,True,2
66083299,2015-09-06,730,True,1
76561198005821848,2015-09-06,206440,True,1
76561198042750240,2015-09-06,369400,True,2
stormshado,2015-09-06,228300,True,2
Delirious_Panda,2015-09-06,730,True,0
76561198071454865,2015-09-06,730,True,2
AlsonFoong,2015-09-06,730,False,0
76561198015968275,2015-09-06,248610,True,0
AvatarICEMAN,2015-09-06,316010,True,2
GameFreak2401,2015-09-06,730,True,2
76561198071507074,2015-09-06,730,True,0
76561198104084938,2015-09-06,236390,True,2
76561198073039037,2015-09-06,393410,False,1
76561198075539885,2015-09-06,301520,True,2
76561198059070449,2015-09-06,221100,False,2
76561198089541599,2015-09-06,266010,True,1
76561198049623994,2015-09-06,346010,True,0
JamesyPotatie,2015-09-06,314410,True,2
Andrew301103,2015-09-06,570,True,2
Tacos4Lyfe,2015-09-06,287700,True,0
76561198043130826,2015-09-06,221100,True,0
kevinator23,2015-09-06,8850,True,2
companothemuslim,2015-09-06,72850,True,2
ly_cheen,2015-09-06,375950,True,2
Rubbercube,2015-09-06,304930,False,0
416940127,2015-09-06,291480,False,0
lecomptedelric,2014-09-06,72850,True,2
CowOnWeed,2014-09-06,99900,False,2
76561198080148447,2014-09-06,12120,True,2
76561198111954979,2014-09-06,241640,True,1
SomeRandomNewAccount,2014-09-06,730,True,1
76561198073580952,2014-09-06,231670,True,2
Ebolyn,2014-09-06,730,True,2
76561198057462487,2014-09-06,265630,True,2
Minburra,2014-09-06,49520,True,2
jpanjaja,2014-09-06,221100,True,2
mexicanburritobandito,2014-09-06,4000,True,2
rookynightwing,2014-09-06,248970,False,0
Chellyyyyyy,2014-09-06,233250,True,2
76561198031945954,2014-09-06,209160,True,2
76561198038294997,2014-09-06,265550,True,2
anotherfuckingdeejay,2014-09-06,253710,False,0
76561198061021230,2014-09-06,233250,False,0
L33T4RCH,2014-09-06,222880,True,2
radiusstep,2014-09-06,304930,True,1
76561198030498775,2014-09-06,304930,True,2
_sc0tt_,2014-09-06,304930,True,0
76561198067106876,2014-09-06,730,True,2
zehterminator,2014-09-06,72850,True,2
76561198073525052,2014-09-06,266430,True,2
hentaisandysenpai,2014-09-06,24010,False,0
Jasrad,2014-09-06,304930,False,0
TheMidgetNinja,2014-09-06,48000,True,0
fusion12,2014-09-06,730,True,0
Acroxian,2014-09-06,224260,True,2
76561198048348337,2014-09-06,211820,True,1
xXOdysseyXx,2014-09-06,304930,True,2
76561198106988051,2014-09-06,304930,True,1
76561198082183627,2014-09-06,221100,True,0
76561198089788291,2014-09-06,440,True,2
76561198080841633,2014-09-06,730,True,1
76561198070070375,2014-09-06,230410,True,2
12779,2014-09-06,200210,False,0
76561198069758889,2014-09-06,263760,True,2
76561198103674275,2014-09-06,204300,True,2
76561198081657706,2014-09-06,225140,True,2
76561198057784617,2014-09-06,251570,True,2
rgshgfdhgfdhtrht,2014-09-06,231430,True,2
76561198093711678,2014-09-06,265930,True,2
OfficalUberZ,2014-09-06,4000,True,2
MisTletain,2014-09-06,730,True,2
76561198056401947,2014-09-06,105600,True,1
1626466724893520,2014-09-06,230410,True,1
76561198131181299,2014-09-06,39120,True,2
76561198055197775,2014-09-06,295550,True,2
76561197985191301,2014-09-06,215510,False,2
ratgnomekingkeem,2014-09-06,305260,False,1
BananaChips,2014-09-06,620,True,0
dumbassscout2005,2014-09-06,4000,False,0
76561198040946765,2014-09-06,236390,True,2
