sentiment_analysis,release_date
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
